Pserial	Hserial	Addnum	hhold	PersNo	FinOutC	IndOut	Sex	Age90	Adults	Children	Infants	SampType	psu	NOFHH	Relto01	Relto02	Relto03	Relto04	Relto05	Relto06	Relto07	Relto08	Relto09	Relto10	Relto11	Relto12	ReltoHRP	wt_hhld
100107101	1001071	7	1	1	214	110	2	62	2	0	0	1	2141034	1	96	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	.952566202868001
100107102	1001071	7	1	2	214	430	1	68	2	0	0	1	2141034	1	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.952566202868001
100108101	1001081	8	1	1	110	110	1	38	1	0	0	1	2141034	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.2154513554499
100110101	1001101	10	1	1	110	110	2	62	1	0	0	1	2141034	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.01314073691899
100111101	1001111	11	1	1	110	110	2	33	1	0	0	1	2141034	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.05274475985474
100116101	1001161	16	1	1	214	110	1	49	4	0	0	1	2141034	1	96	1	8	8	-1	-1	-1	-1	-1	-1	-1	-1	96	1.29419655158451
100116102	1001161	16	1	2	214	430	2	-9	4	0	0	1	2141034	1	1	96	8	8	-1	-1	-1	-1	-1	-1	-1	-1	1	1.29419655158451
100116103	1001161	16	1	3	214	430	2	22	4	0	0	1	2141034	1	3	3	96	13	-1	-1	-1	-1	-1	-1	-1	-1	3	1.29419655158451
100116104	1001161	16	1	4	214	430	1	19	4	0	0	1	2141034	1	3	3	13	96	-1	-1	-1	-1	-1	-1	-1	-1	3	1.29419655158451
100118101	1001181	18	1	1	110	110	1	36	2	2	0	1	2141034	1	96	1	11	8	-1	-1	-1	-1	-1	-1	-1	-1	1	1.04752278723529
100118102	1001181	18	1	2	110	110	2	28	2	2	0	1	2141034	1	1	96	8	8	-1	-1	-1	-1	-1	-1	-1	-1	96	1.04752278723529
100118103	1001181	18	1	3	110	110	2	9	2	2	0	1	2141034	1	6	3	96	14	-1	-1	-1	-1	-1	-1	-1	-1	3	1.04752278723529
100118104	1001181	18	1	4	110	110	1	5	2	2	0	1	2141034	1	3	3	14	96	-1	-1	-1	-1	-1	-1	-1	-1	3	1.04752278723529
100121101	1001211	21	1	1	110	110	2	35	2	0	0	1	2141034	1	96	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.15497087176877
100121102	1001211	21	1	2	110	110	1	33	2	0	0	1	2141034	1	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.15497087176877
100302101	1003021	2	1	1	110	110	1	69	1	0	0	1	2141245	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.02644712258151
100306101	1003061	6	1	1	110	110	1	27	1	0	0	1	2141245	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.35314436257152
100308101	1003081	8	1	1	110	110	2	21	1	1	0	1	2141245	1	96	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.18259642624339
100308102	1003081	8	1	2	110	110	2	2	1	1	0	1	2141245	1	3	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1.18259642624339
100309101	1003091	9	1	1	214	110	1	42	4	0	0	1	2141245	1	96	1	8	8	-1	-1	-1	-1	-1	-1	-1	-1	96	1.52941652661931
100309102	1003091	9	1	2	214	110	2	42	4	0	0	1	2141245	1	1	96	8	8	-1	-1	-1	-1	-1	-1	-1	-1	1	1.52941652661931
100309103	1003091	9	1	3	214	430	1	20	4	0	0	1	2141245	1	3	3	96	13	-1	-1	-1	-1	-1	-1	-1	-1	3	1.52941652661931
100309104	1003091	9	1	4	214	430	2	23	4	0	0	1	2141245	1	3	3	13	96	-1	-1	-1	-1	-1	-1	-1	-1	3	1.52941652661931
100310101	1003101	10	1	1	214	110	2	44	3	2	0	1	2141245	1	96	1	8	8	8	-1	-1	-1	-1	-1	-1	-1	96	1.07447649115109
100310102	1003101	10	1	2	214	430	1	50	3	2	0	1	2141245	1	1	96	8	8	8	-1	-1	-1	-1	-1	-1	-1	1	1.07447649115109
100310103	1003101	10	1	3	214	430	1	17	3	2	0	1	2141245	1	3	3	96	13	13	-1	-1	-1	-1	-1	-1	-1	3	1.07447649115109
100310104	1003101	10	1	4	214	430	2	15	3	2	0	1	2141245	1	3	3	13	96	13	-1	-1	-1	-1	-1	-1	-1	3	1.07447649115109
100310105	1003101	10	1	5	214	110	1	3	3	2	0	1	2141245	1	3	3	13	13	96	-1	-1	-1	-1	-1	-1	-1	3	1.07447649115109
100311101	1003111	11	1	1	110	110	1	26	1	0	0	1	2141245	1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.35314436257152
100314101	1003141	14	1	1	110	110	1	31	2	0	0	1	2141245	1	96	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	1.73515671801248
